,product,year,country,total_production,quantity,per_production,amount
0,Espumante,2024,Alemanha,8650969,14101.367706796054,0.163,14101.367706796054
1,Espumante,2024,Angola,8650969,14551.891106096631,0.16821,14551.891106096631
2,Espumante,2024,Antigua e Barbuda,8650969,14098.809309079254,0.16297,14098.809309079254
3,Espumante,2024,Antilhas Holandesas,8650969,12882.789651558409,0.14892,12882.789651558409
4,Espumante,2024,Argentina,8650969,13903.127904107067,0.16071,13903.127904107067
5,Espumante,2024,Aruba,8650969,12769.404971180207,0.14761,12769.404971180207
6,Espumante,2024,Australia,8650969,14100.805689472454,0.163,14100.805689472454
7,Espumante,2024,Bahamas,8650969,12818.042707431787,0.14817,12818.042707431787
8,Espumante,2024,Bangladesh,8650969,12762.295672186296,0.14752,12762.295672186296
9,Espumante,2024,Barbados,8650969,12847.179108254346,0.14851,12847.179108254346
10,Espumante,2024,Belgica,8650969,14098.73990987767,0.16297,14098.73990987767
11,Espumante,2024,Benin,8650969,12742.81621241248,0.1473,12742.81621241248
12,Espumante,2024,Bermudas,8650969,12753.022177723069,0.14742,12753.022177723069
13,Espumante,2024,Bulgaria,8650969,14098.944393111666,0.16298,14098.944393111666
14,Espumante,2024,Bósnia-Herzegovina,8650969,12873.35515905238,0.14881,12873.35515905238
15,Espumante,2024,Cabo Verde,8650969,12810.609144840517,0.14808,12810.609144840517
16,Espumante,2024,Camarões,8650969,12734.342523228474,0.1472,12734.342523228474
17,Espumante,2024,Canada,8650969,14100.357588659845,0.16299,14100.357588659845
18,Espumante,2024,Catar,8650969,12759.071727903272,0.14749,12759.071727903272
19,Espumante,2024,"Cayman, Ilhas",8650969,12745.05458390584,0.14733,12745.05458390584
20,Espumante,2024,Chile,8650969,12877.377704111437,0.14885,12877.377704111437
21,Espumante,2024,China,8650969,15065.59528731874,0.17415,15065.59528731874
22,Espumante,2024,Chipre,8650969,12790.427090016552,0.14785,12790.427090016552
23,Espumante,2024,Cingapura,8650969,12825.640100726205,0.14826,12825.640100726205
24,Espumante,2024,Colombia,8650969,14101.140993010113,0.163,14101.140993010113
25,Espumante,2024,"Coreia do Sul, Republica da",8650969,14098.107883715074,0.16297,14098.107883715074
26,Espumante,2024,Costa Rica,8650969,12772.131021525125,0.14764,12772.131021525125
27,Espumante,2024,Cuba,8650969,13005.190157155686,0.15033,13005.190157155686
28,Espumante,2024,Curaçao,8650969,12863.303573031884,0.14869,12863.303573031884
29,Espumante,2024,Dinamarca,8650969,13102.88894934416,0.15146,13102.88894934416
30,Espumante,2024,Djibuti,8650969,14100.180866936083,0.16299,14100.180866936083
31,Espumante,2024,Dominica,8650969,12864.010864082557,0.1487,12864.010864082557
32,Espumante,2024,El Salvador,8650969,12797.596385534918,0.14793,12797.596385534918
33,Espumante,2024,Emirados Arabes Unidos,8650969,12882.605214181724,0.14892,12882.605214181724
34,Espumante,2024,Equador,8650969,12812.675877868243,0.14811,12812.675877868243
35,Espumante,2024,Espanha,8650969,14787.90792188771,0.17094,14787.90792188771
36,Espumante,2024,Estados Unidos,8650969,50764.77560135326,0.58681,50764.77560135326
37,Espumante,2024,Estonia,8650969,14100.93281275708,0.163,14100.93281275708
38,Espumante,2024,Falkland (Malvinas),8650969,13844.596393151343,0.16004,13844.596393151343
39,Espumante,2024,Filipinas,8650969,12788.471574307294,0.14783,12788.471574307294
40,Espumante,2024,Filânldia,8650969,14100.616353879479,0.16299,14100.616353879479
41,Espumante,2024,França,8650969,13009.27920592394,0.15038,13009.27920592394
42,Espumante,2024,Gana,8650969,12865.291303715328,0.14872,12865.291303715328
43,Espumante,2024,Gibraltar,8650969,12766.00127065298,0.14757,12766.00127065298
44,Espumante,2024,Granada,8650969,12866.344731892836,0.14873,12866.344731892836
45,Espumante,2024,Grécia,8650969,12722.24497430961,0.14706,12722.24497430961
46,Espumante,2024,Guatemala,8650969,12793.980536121135,0.14789,12793.980536121135
47,Espumante,2024,Guiana,8650969,12808.67856001884,0.14806,12808.67856001884
48,Espumante,2024,Guiné Equatorial,8650969,14099.318451765139,0.16298,14099.318451765139
49,Espumante,2024,Guiné-Bissau,8650969,14099.912675294276,0.16299,14099.912675294276
50,Espumante,2024,Haiti,8650969,14291.271883555837,0.1652,14291.271883555837
51,Espumante,2024,Honduras,8650969,12918.33296264616,0.14933,12918.33296264616
52,Espumante,2024,Hong Kong,8650969,12890.29768768286,0.149,12890.29768768286
53,Espumante,2024,Hungria,8650969,12759.845138465214,0.1475,12759.845138465214
54,Espumante,2024,Ilha de Man,8650969,12765.218999153076,0.14756,12765.218999153076
55,Espumante,2024,Iraque,8650969,12778.024444949784,0.14771,12778.024444949784
56,Espumante,2024,Irlanda,8650969,12793.236942083455,0.14788,12793.236942083455
57,Espumante,2024,Islândia,8650969,14099.232476464304,0.16298,14099.232476464304
58,Espumante,2024,Itália,8650969,12828.531655090175,0.14829,12828.531655090175
59,Espumante,2024,Japão,8650969,28788.85894893929,0.33278,28788.85894893929
60,Espumante,2024,Jordânia,8650969,12876.696958956003,0.14885,12876.696958956003
61,Espumante,2024,Letônia,8650969,12857.070733221599,0.14862,12857.070733221599
62,Espumante,2024,Libéria,8650969,12784.899128418148,0.14779,12784.899128418148
63,Espumante,2024,Luxemburgo,8650969,12822.047391963915,0.14822,12822.047391963915
64,Espumante,2024,Líbano,8650969,12790.105954044078,0.14785,12790.105954044078
65,Espumante,2024,Maldivas,8650969,14100.424642835336,0.16299,14100.424642835336
66,Espumante,2024,Malta,8650969,12770.109844052165,0.14761,12770.109844052165
67,Espumante,2024,Marrocos,8650969,14100.182539328227,0.16299,14100.182539328227
68,Espumante,2024,"Marshall, Ilhas",8650969,12811.923240503927,0.1481,12811.923240503927
69,Espumante,2024,Montenegro,8650969,12774.704096315068,0.14767,12774.704096315068
70,Espumante,2024,México,8650969,12920.748692655132,0.14936,12920.748692655132
71,Espumante,2024,Nicarágua,8650969,12883.503806560624,0.14893,12883.503806560624
72,Espumante,2024,Nigéria,8650969,12848.158351951291,0.14852,12848.158351951291
73,Espumante,2024,Noruega,8650969,12848.452179481777,0.14852,12848.452179481777
74,Espumante,2024,Nova Zelândia,8650969,12809.123287995782,0.14807,12809.123287995782
75,Espumante,2024,Panamá,8650969,12787.234062547954,0.14781,12787.234062547954
76,Espumante,2024,Países Baixos (Holanda),8650969,14100.142799983067,0.16299,14100.142799983067
77,Espumante,2024,Peru,8650969,12861.131803233677,0.14867,12861.131803233677
78,Espumante,2024,Polônia,8650969,12859.435679964863,0.14865,12859.435679964863
79,Espumante,2024,Porto Rico,8650969,13178.3709261827,0.15233,13178.3709261827
80,Espumante,2024,Portugal,8650969,13276.611890018088,0.15347,13276.611890018088
81,Espumante,2024,Quênia,8650969,12820.141845959903,0.14819,12820.141845959903
82,Espumante,2024,Reino Unido,8650969,14929.818110037459,0.17258,14929.818110037459
83,Espumante,2024,Republica Dominicana,8650969,14098.53024477048,0.16297,14098.53024477048
84,Espumante,2024,Republica Tcheca,8650969,14099.285914532498,0.16298,14099.285914532498
85,Espumante,2024,Rússia,8650969,55761.92557122859,0.64457,55761.92557122859
86,Espumante,2024,Serra Leoa,8650969,12794.605246606214,0.1479,12794.605246606214
87,Espumante,2024,Singapura,8650969,12761.582066220733,0.14752,12761.582066220733
88,Espumante,2024,Suriname,8650969,12832.761972772285,0.14834,12832.761972772285
89,Espumante,2024,Suécia,8650969,13007.062463182767,0.15035,13007.062463182767
90,Espumante,2024,Suíça,8650969,12985.656164483553,0.15011,12985.656164483553
91,Espumante,2024,Sérvia,8650969,12865.200489526105,0.14871,12865.200489526105
92,Espumante,2024,Tailândia,8650969,12775.222532441432,0.14767,12775.222532441432
93,Espumante,2024,Taiwan (Formosa),8650969,12874.915587853757,0.14883,12874.915587853757
94,Espumante,2024,"Tcheca, República",8650969,12949.925588196887,0.14969,12949.925588196887
95,Espumante,2024,Togo,8650969,12761.840263923896,0.14752,12761.840263923896
96,Espumante,2024,Trinidade e Tobago,8650969,13968.405199024057,0.16147,13968.405199024057
97,Espumante,2024,Turquia,8650969,12781.140796854555,0.14774,12781.140796854555
98,Espumante,2024,Uruguai,8650969,14143.856698994696,0.16349,14143.856698994696
99,Espumante,2024,Vanuatu,8650969,12745.202545621301,0.14733,12745.202545621301
100,Espumante,2024,Venezuela,8650969,13055.021137569773,0.15091,13055.021137569773
101,Espumante,2024,Vietnã,8650969,12870.968898380353,0.14878,12870.968898380353
102,Espumante,2024,África do Sul,8650969,12762.324417138158,0.14752,12762.324417138158
103,Espumante,2024,Índia,8650969,12859.223023765386,0.14864,12859.223023765386
104,Espumante,2024,"Alemanha, República Democrática da",8650969,14073.735645918341,0.16268,14073.735645918341
105,Espumante,2024,Antígua e Barbuda,8650969,12788.505313007454,0.14783,12788.505313007454
106,Espumante,2024,Argélia,8650969,12794.6972078295,0.1479,12794.6972078295
107,Espumante,2024,Arábia Saudita,8650969,12863.542979922055,0.14869,12863.542979922055
108,Espumante,2024,Austrália,8650969,13120.711895076107,0.15167,13120.711895076107
109,Espumante,2024,Barein,8650969,12753.056215834418,0.14742,12753.056215834418
110,Espumante,2024,Belize,8650969,13779.252657309176,0.15928,13779.252657309176
111,Espumante,2024,Birmânia,8650969,13894.217220715173,0.16061,13894.217220715173
112,Espumante,2024,Bolívia,8650969,13879.839942926063,0.16044,13879.839942926063
113,Espumante,2024,Brasil,8650969,12795.357699189643,0.14791,12795.357699189643
114,Espumante,2024,Bulgária,8650969,12807.293646212136,0.14804,12807.293646212136
115,Espumante,2024,Bélgica,8650969,13045.684009807588,0.1508,13045.684009807588
116,Espumante,2024,Canadá,8650969,13929.7676246905,0.16102,13929.7676246905
117,Espumante,2024,Colômbia,8650969,12790.657581229678,0.14785,12790.657581229678
118,Espumante,2024,Congo,8650969,12745.204622968227,0.14733,12745.204622968227
119,Espumante,2024,Coreia do Sul,8650969,14111.477988111938,0.16312,14111.477988111938
120,Espumante,2024,Costa do Marfim,8650969,12783.752600274885,0.14777,12783.752600274885
121,Espumante,2024,Coveite,8650969,13834.828439451334,0.15992,13834.828439451334
122,Espumante,2024,"Dominica, Ilha de",8650969,13845.086041687258,0.16004,13845.086041687258
123,Espumante,2024,Emirados Árabes Unidos,8650969,13834.536081071063,0.15992,13834.536081071063
124,Espumante,2024,Finlândia,8650969,13095.731474195,0.15138,13095.731474195
125,Espumante,2024,Gabão,8650969,12803.841854630335,0.148,12803.841854630335
126,Espumante,2024,Guiana Francesa,8650969,12829.413101259495,0.1483,12829.413101259495
127,Espumante,2024,Guine Equatorial,8650969,12813.586300045863,0.14812,12813.586300045863
128,Espumante,2024,Guiné Bissau,8650969,13831.94566098936,0.15989,13831.94566098936
129,Espumante,2024,India,8650969,13824.91685699713,0.15981,13824.91685699713
130,Espumante,2024,Indonésia,8650969,12779.394343851414,0.14772,12779.394343851414
131,Espumante,2024,Irã,8650969,12766.0198995331,0.14757,12766.0198995331
132,Espumante,2024,Israel,8650969,13807.384351208082,0.15961,13807.384351208082
133,Espumante,2024,Iugoslâvia,8650969,13780.246599205693,0.15929,13780.246599205693
134,Espumante,2024,Jamaica,8650969,12799.352124810475,0.14795,12799.352124810475
