,product,year,total_amount,total_quantity
0,Espumante,2024,2541177.134585285,2541177.134585285
1,Espumante,2025,2482151.2504266696,2482151.2504266696
2,Espumante,2026,2518769.521338825,2518769.521338825
3,Espumante,2027,2605798.9520055233,2605798.9520055233
4,Espumante,2028,2477445.5770943584,2477445.5770943584
5,Espumante,2029,2581615.4621658893,2581615.4621658893
6,Espumante,2030,2505943.5935550425,2505943.5935550425
7,Espumante,2031,2519389.7557370104,2519389.7557370104
8,Espumante,2032,2550783.543852123,2550783.543852123
9,Espumante,2033,2538506.144376798,2538506.144376798
10,Espumante,2034,2525340.770312536,2525340.770312536
11,Espumante,2035,2480159.999736871,2480159.999736871
12,Espumante,2036,2465421.8812211594,2465421.8812211594
13,Espumante,2037,2468561.239085703,2468561.239085703
14,Espumante,2038,2487193.9685403765,2487193.9685403765
15,Espumante,2039,2557236.8848904814,2557236.8848904814
16,Espumante,2040,2467737.9335315237,2467737.9335315237
17,Espumante,2041,2507625.3831137083,2507625.3831137083
18,Espumante,2042,2545100.8265824765,2545100.8265824765
19,Espumante,2043,2513370.165198071,2513370.165198071
20,Espumante,2044,2609844.918857964,2609844.918857964
21,Espumante,2045,2480316.0381744006,2480316.0381744006
22,Espumante,2046,2605770.1461732546,2605770.1461732546
23,Espumante,2047,2579001.8157748966,2579001.8157748966
24,Espumante,2048,2497467.941377913,2497467.941377913
25,Espumante,2049,2526747.424919346,2526747.424919346
26,Espumante,2050,2611383.102690377,2611383.102690377
27,Suco de uva,2024,7488818.380047059,7488818.380047059
28,Suco de uva,2025,7852635.305805566,7852635.305805566
29,Suco de uva,2026,7673594.543116947,7673594.543116947
30,Suco de uva,2027,9426224.853486957,9426224.853486957
31,Suco de uva,2028,7915498.258462689,7915498.258462689
32,Suco de uva,2029,8752657.99956248,8752657.99956248
33,Suco de uva,2030,8293473.6933408175,8293473.6933408175
34,Suco de uva,2031,8925065.59172191,8925065.59172191
35,Suco de uva,2032,8300431.864406156,8300431.864406156
36,Suco de uva,2033,8185304.741227711,8185304.741227711
37,Suco de uva,2034,8047706.9614848755,8047706.9614848755
38,Suco de uva,2035,7816074.167821574,7816074.167821574
39,Suco de uva,2036,8099493.203352558,8099493.203352558
40,Suco de uva,2037,7437564.552988764,7437564.552988764
41,Suco de uva,2038,8702406.851053083,8702406.851053083
42,Suco de uva,2039,8080522.820066885,8080522.820066885
43,Suco de uva,2040,7382457.839049048,7382457.839049048
44,Suco de uva,2041,8113488.386390003,8113488.386390003
45,Suco de uva,2042,7953798.780059033,7953798.780059033
46,Suco de uva,2043,7482586.352642903,7482586.352642903
47,Suco de uva,2044,7926070.118331924,7926070.118331924
48,Suco de uva,2045,9406575.258427894,9406575.258427894
49,Suco de uva,2046,9472327.911240747,9472327.911240747
50,Suco de uva,2047,8409543.380654573,8409543.380654573
51,Suco de uva,2048,9427315.326123254,9427315.326123254
52,Suco de uva,2049,9396931.003241628,9396931.003241628
53,Suco de uva,2050,7378632.520222713,7378632.520222713
54,Vinho de mesa,2024,8190161.626636484,8190161.626636484
55,Vinho de mesa,2025,5685672.978253419,5685672.978253419
56,Vinho de mesa,2026,7130809.348889088,7130809.348889088
57,Vinho de mesa,2027,7694360.20896796,7694360.20896796
58,Vinho de mesa,2028,7817932.180559099,7817932.180559099
59,Vinho de mesa,2029,8231355.863124712,8231355.863124712
60,Vinho de mesa,2030,6114712.018055299,6114712.018055299
61,Vinho de mesa,2031,5257263.375118486,5257263.375118486
62,Vinho de mesa,2032,6183094.658338458,6183094.658338458
63,Vinho de mesa,2033,4933844.61165022,4933844.61165022
64,Vinho de mesa,2034,5048445.740270976,5048445.740270976
65,Vinho de mesa,2035,7187848.800677089,7187848.800677089
66,Vinho de mesa,2036,7570878.169735507,7570878.169735507
67,Vinho de mesa,2037,6500459.670799528,6500459.670799528
68,Vinho de mesa,2038,7275814.639280648,7275814.639280648
69,Vinho de mesa,2039,7795335.245489333,7795335.245489333
70,Vinho de mesa,2040,5154715.535942388,5154715.535942388
71,Vinho de mesa,2041,7762116.107010664,7762116.107010664
72,Vinho de mesa,2042,6316568.83235362,6316568.83235362
73,Vinho de mesa,2043,8830492.916867683,8830492.916867683
74,Vinho de mesa,2044,7891879.496520959,7891879.496520959
75,Vinho de mesa,2045,7595062.236453038,7595062.236453038
76,Vinho de mesa,2046,7376180.964212609,7376180.964212609
77,Vinho de mesa,2047,8737162.942357298,8737162.942357298
78,Vinho de mesa,2048,8987771.374804363,8987771.374804363
79,Vinho de mesa,2049,9131442.684426708,9131442.684426708
80,Vinho de mesa,2050,8361253.903601995,8361253.903601995
